ordem,timecode,tipo,asset,url,uso,direitos_status,narracao_exata_tts,transicao,efeito_sonoro,musica_db,ritmo,funcao,instrucao_tts,observacao
1,00:00-00:02,LITO_VIDEO,Lito — anúncio do câncer de próstata,https://www.terra.com.br/vida-e-estilo/saude/lito-sousa-especialista-de-aviacao-revela-diagnostico-de-cancer-de-prostata%2C2e40c904621cb80043a27be8d849583c013s57za.html,Abrir o vídeo incorporado e extrair 1–2s do próprio Lito falando; melhor material para o hook.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização de reutilização,Você provavelmente viu as notícias sobre o Lito nas últimas semanas.,Corte seco,Impact hit + whoosh,-18 dB,RÁPIDA,HOOK,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
2,00:02-00:04,LITO_VIDEO,Lito — metáfora do heavy check,https://www.terra.com.br/vida-e-estilo/saude/lito-sousa-especialista-de-aviacao-revela-diagnostico-de-cancer-de-prostata%2C2e40c904621cb80043a27be8d849583c013s57za.html,Usar o trecho em que ele compara o momento a um 'heavy check'.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,"Um homem ativo, trabalhando, fazendo planos...",Punch-in 103%,Whoosh curto,-18 dB,NORMAL,CONTEXTO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
3,00:04-00:06,LITO_IMAGE,Lito no estúdio / escritório de aviação,https://www.reportermt.com/papo-reto/lito-sousa-do-canal-avioes-e-musica-revela-cancer-de-prostata/240533,Imagem nítida para contraste entre vida normal e diagnóstico.,FONTE EDITORIAL — direitos da imagem,Até que a vida dele mudou completamente.,Ken Burns 103→106%,Low boom,-21 dB,IMPACTO,CONTRASTE,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
4,00:06-00:08,LITO_VIDEO,Lito — relato dos exames de rotina,https://www.uol.com.br/splash/noticias/2026/07/17/lito-sousa-revela-diagnostico-de-cancer-de-prostata-e-fala-sobre-tratamento.ghtm,Usar close do rosto enquanto fala sobre exames/check-up.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,E é aqui que muita gente confunde seguro de vida.,Corte no beat,Tick + soft hit,-24 dB,LENTA,PREVENÇÃO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
5,00:06-00:08,LITO_VIDEO,Lito — câncer de próstata,https://www.uol.com.br/splash/noticias/2026/07/17/lito-sousa-revela-diagnostico-de-cancer-de-prostata-e-fala-sobre-tratamento.ghtm,Trecho curto da revelação do diagnóstico.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,E é aqui que muita gente confunde seguro de vida.,Hard cut,Impact hit,-24 dB,LENTA,IMPACTO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
6,00:10-00:12,LITO_IMAGE,Lito no escritório com aviões,https://www.estadao.com.br/economia/sua-carreira/avioes-musicas-lito-sousa-canal-youtube-aviacao-historia-profissional/,Foto de alta qualidade; usar antes da virada para a doença rara.,FONTE EDITORIAL — direitos da imagem,Seguro de vida não é só sobre morrer.,Slow push-in,Riser,-27 dB,IMPACTO,HISTÓRIA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
7,00:12-00:14,LITO_VIDEO,Lito — vídeo de 3 de agosto sobre câncer/inflamação,https://www.tribunadosertao.com.br/geral/2026/08/03/952406-lito-sousa-detalha-diagnostico-de-cancer-de-prostata-e-internacao-por-inflamacao-cerebral,Fonte que referencia o vídeo publicado no YouTube; localizar o vídeo original e baixar o trecho.,FONTE ORIGINAL PREFERENCIAL: YouTube/Aviões e Músicas,"Dependendo da apólice, existe também cobertura para doenças graves.",Cut + micro zoom,Heartbeat,-20 dB,NORMAL,VIRADA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
8,00:14-00:16,LITO_VIDEO,Lito — sintomas neurológicos / braço esquerdo,https://www.tribunadosertao.com.br/geral/2026/08/03/952406-lito-sousa-detalha-diagnostico-de-cancer-de-prostata-e-internacao-por-inflamacao-cerebral,Trecho em que descreve perda de controle motor.,FONTE ORIGINAL PREFERENCIAL,"Dependendo da apólice, existe também cobertura para doenças graves.",Freeze 6 frames,Sub hit,-20 dB,NORMAL,SINTOMAS,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
9,00:16-00:18,LITO_VIDEO,Lito no hospital — apelo por tratamento experimental,https://www.uol.com.br/splash/noticias/2026/08/23/influenciador-lito-souza-pede-para-entrar-em-tratamento-experimental.amp.htm,Material de maior impacto: Lito aparece em cama hospitalar fazendo apelo.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,E isso pode fazer uma diferença enorme.,Dissolve 3 frames,Heartbeat + room tone,-22 dB,IMPACTO,IMPACTO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
10,00:18-00:20,LITO_VIDEO,Lito no hospital — trecho do apelo,https://www1.folha.uol.com.br/equilibrioesaude/2026/08/lito-faz-apelo-em-video-nas-redes-sociais-para-ter-acesso-a-tratamento-experimental.shtml,"Usar 1–2s, sem explorar sofrimento; foco no rosto/voz.",FONTE EDITORIAL/REDE SOCIAL — verificar autorização,E isso pode fazer uma diferença enorme.,Hard cut,Impact + silence 0.2s,-22 dB,IMPACTO,EMOÇÃO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
